taxon,lfc,se,t_stat,p_ols,p_val,wilcoxon_p,auroc,gfc,n_ctrl,n_crc,q_val,significant,direction
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,-0.655,0.5573,-1.1753,0.24029819389147028,0.081,0.081,0.460032791717328,-0.3868,327,332,0.176175,False,depleted_CRC
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified,0.9772,0.5158,1.8946,0.05858413946688896,0.09,0.09,0.5441490733576507,2.2719,327,332,0.1885,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,1.3152,0.5894,2.2314,0.025998424406549724,0.091,0.091,0.5386868575218305,1.02,327,332,0.1885,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,1.7779,0.7741,2.2968,0.021948408407470813,0.105,0.105,0.536798570428503,2.341,327,332,0.212442,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,1.3905,0.6784,2.0497,0.040791029391594305,0.111,0.111,0.5346063151689326,1.2874,327,332,0.2146,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,1.4726,0.6789,2.1691,0.030433913885638406,0.109,0.109,0.5325153826314433,2.0321,327,332,0.2146,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,-0.9146,0.6985,-1.3095,0.1908417128028501,0.131,0.131,0.4658910872849195,-1.9247,327,332,0.247761,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,1.0155,0.5908,1.7188,0.08613591453812189,0.14,0.14,0.5331970082163516,1.5501,327,332,0.259149,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified,1.3368,0.7171,1.8642,0.06274233281101765,0.149,0.149,0.5316495339154784,2.209,327,332,0.270062,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,-0.9623,0.6477,-1.4855,0.13788378831855938,0.165,0.165,0.4671530157326554,-1.3652,327,332,0.292959,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,-0.6877,0.6835,-1.006,0.31476832442418684,0.203,0.203,0.4704782432482222,-0.3428,327,332,0.349706,False,depleted_CRC
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,1.3663,0.683,2.0006,0.045850983910336214,0.205,0.205,0.5297704579787038,2.2814,327,332,0.349706,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.6221,0.5518,1.1274,0.2599838903877015,0.23,0.23,0.52835193986957,0.7081,327,332,0.377547,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,0.8499,0.6918,1.2286,0.2196763099268323,0.23,0.23,0.5275413580929222,2.0208,327,332,0.377547,False,enriched_CRC
